TRIMESTRE,Año,Trimestre,PIB_MANUFACTURERO,CarteraBancoPrivado,PIB,IPC
2015Q1,2015,Q1," 3,193,509 ",20117.16," 25,662,990 ",101.79
2015Q2,2015,Q2," 3,168,936 ",19638.77," 24,904,873 ",103.4
2015Q3,2015,Q3," 3,113,163 ",19321.22," 25,369,059 ",103.75
2015Q4,2015,Q4," 3,038,241 ",18305.23," 25,133,753 ",103.94
2016Q1,2016,Q1," 2,964,805 ",18032.56," 24,779,695 ",104.51
2016Q2,2016,Q2," 3,072,475 ",18177.13," 24,858,920 ",105.12
2016Q3,2016,Q3," 3,053,138 ",18414.21," 24,960,918 ",105.23
2016Q4,2016,Q4," 3,130,487 ",19315.48," 25,775,822 ",105.15
2017Q1,2017,Q1," 3,168,730 ",19690.01," 26,681,923 ",105.49
2017Q2,2017,Q2," 3,193,286 ",21737.12," 26,830,156 ",105.94
2017Q3,2017,Q3," 3,187,419 ",22619.74," 26,304,819 ",105.36
2017Q4,2017,Q4," 3,168,868 ",23778.88," 26,551,266 ",104.97
2018Q1,2018,Q1," 3,231,644 ",24029.46," 26,911,897 ",105.33
2018Q2,2018,Q2," 3,275,244 ",25103.3," 26,951,553 ",105.06
2018Q3,2018,Q3," 3,222,870 ",25857.89," 26,856,702 ",105.13
2018Q4,2018,Q4," 3,171,867 ",26845.26," 26,758,808 ",105.3
2019Q1,2019,Q1," 3,186,018 ",26934.32," 26,954,442 ",105.54
2019Q2,2019,Q2," 3,267,348 ",27756.49," 27,169,536 ",105.47
2019Q3,2019,Q3," 3,225,370 ",28763.34," 26,934,340 ",105.47
2019Q4,2019,Q4," 3,188,452 ",29468.29," 26,598,418 ",105.47
2020Q1,2020,Q1," 3,063,015 ",29442.88," 26,441,897 ",105.41
2020Q2,2020,Q2," 2,524,045 ",28860," 22,283,488 ",106.15
2020Q3,2020,Q3," 2,944,458 ",28702.31," 24,143,338 ",104.69
2020Q4,2020,Q4," 3,082,675 ",29587.49," 24,835,045 ",104.26
2021Q1,2021,Q1," 3,171,324 ",29988.67," 25,770,309 ",104.47
2021Q2,2021,Q2," 3,304,152 ",30609.42," 26,594,662 ",104.99
2021Q3,2021,Q3," 3,348,555 ",32133.802," 27,136,142 ",105.53
2021Q4,2021,Q4," 3,487,078 ",33674.071," 27,408,199 ",106.08
2022Q1,2022,Q1," 3,539,828 ",34916.39," 28,085,444 ",107.23
2022Q2,2022,Q2," 3,569,747 ",36156.373," 27,989,948 ",108.67
2022Q3,2022,Q3," 3,673,986 ",37625.738," 28,606,967 ",109.66
2022Q4,2022,Q4," 3,521,009 ",38552.371," 28,500,843 ",110.11
2023Q1,2023,Q1," 3,613,364 ",39366.417," 28,795,566 ",110.4
2023Q2,2023,Q2," 3,722,524 ",40379.097," 29,361,821 ",110.87
2023Q3,2023,Q3," 3,531,339 ",41430.922," 28,582,390 ",112.17
2023Q4,2023,Q4," 3,492,595 ",42248.286," 28,693,776 ",111.88
2024Q1,2024,Q1," 3,457,012 ",42902.629," 28,456,774 ",112.03
2024Q2,2024,Q2," 3,542,334 ",43843.922," 28,165,584 ",113.26
2024Q3,2024,Q3," 3,443,443 ",44798.945," 28,073,335 ",113.77
2024Q4,2024,Q4," 3,551,938 ",46204.745," 28,427,742 ",113.57
